"Region","Mean","Median","Std_Dev","Skewness","Kurtosis","CV"
"Dhaka",2083.33,2052.91,321.85,0.48,3.96,0.15
"Sylhet",4362.02,4344.84,551.52,0.51,3.66,0.13
